Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),Unnamed: 26,Day of Year
Al Baha - University,20.1794,41.6357,05-01-2019,-0.4517975523035308,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,2730.5,769.9,680.1,4082.4,1222.5,1702.6,5895.8,1361.4,870.3,0.0,0.0,34.4,3.0,834.7,4.2,5
Al Baha - University,20.1794,41.6357,06-01-2019,0.3129130843416418,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,2752.9,681.9,418.1,4397.7,1139.0,1450.2,6252.5,1370.9,884.4,0.0,0.0,18.4,3.0,833.2,4.2,6
Al Baha - University,20.1794,41.6357,07-01-2019,0.4352667862048689,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,2950.1,108.9,556.3,4929.2,230.4,1530.2,6914.6,227.2,713.1,0.0,0.0,16.4,3.0,831.3,4.2,7
Al Baha - University,20.1794,41.6357,08-01-2019,0.11408831881389678,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,2624.2,90.5,561.1,4751.7,195.0,1721.6,6362.0,207.8,1009.0,0.0,0.0,28.3,3.0,832.4,4.2,8
Al Baha - University,20.1794,41.6357,09-01-2019,0.20585359521131716,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,2286.3,121.8,591.6,6008.3,226.9,1783.1,6709.8,230.2,727.1,0.0,0.0,17.1,3.0,833.5,4.2,9
Al Baha - University,20.1794,41.6357,10-01-2019,-0.48238597776933817,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,1698.9,75.4,417.1,6532.6,224.0,1295.0,6017.5,217.0,546.0,0.0,0.0,27.1,3.0,835.5,4.2,10
Al Baha - University,20.1794,41.6357,11-01-2019,-1.1859197634828966,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,1546.0,65.0,419.7,5047.1,249.3,2571.2,4554.2,191.0,1374.0,0.0,0.0,47.2,3.1,835.2,4.3,11
Al Baha - University,20.1794,41.6357,12-01-2019,-1.5070982308738692,0.5,0.0,0.0,-1.989938345149071,0.0,0.0,2557.729545,1302.9,46.1,402.6,6612.5,225.4,1685.1,4915.2,146.9,501.4,0.0,0.0,49.4,3.0,835.6,4.2,12
Al Baha - University,20.1794,41.6357,01-01-2020,-1.8129824855319383,0.5,185.0,3.7,-1.6507644325839466,0.0,1.1,2557.729545,1087.9,322.2,569.1,7888.5,1769.3,1980.9,5450.1,1085.0,556.7,11.5,0.0,41.3,3.0,835.8,4.2,1
Al Baha - University,20.1794,41.6357,02-01-2020,-1.3541561035448348,0.5,198.0,4.0,0.8082464335132072,0.1,2.2,2557.729545,1902.6,602.2,618.0,6379.0,1666.7,1569.2,5930.5,1269.9,614.8,18.9,0.1,39.4,3.0,835.8,4.2,2
